,station_number,mean_temp,mean_dew_point,mean_sealevel_pressure,mean_visibility,mean_wind_speed,max_sustained_wind_speed,max_temperature,total_precipitation,fog,rain,snow,hail,thunder,tornado,date,snow_tomorrow
0,725305,30.899999618530273,21.799999237060547,1028.699951171875,10.0,8.600000381469727,14.0,21.0,0.0,0,0,0,0,0,0,2005-01-01,1
1,725316,40.29999923706055,35.79999923706055,1025.5999755859375,7.0,9.0,13.0,35.599998474121094,0.009999999776482582,1,1,1,1,1,1,2005-01-01,1
2,725315,39.0,34.29999923706055,1026.0,6.5,10.600000381469727,15.899999618530273,33.79999923706055,0.029999999329447746,1,1,1,1,1,1,2005-01-01,1
3,725330,38.400001525878906,32.599998474121094,1027.800048828125,9.199999809265137,7.900000095367432,15.899999618530273,30.0,0.07999999821186066,1,1,1,1,1,1,2005-01-01,1
4,725300,32.099998474121094,21.200000762939453,1027.800048828125,9.899999618530273,8.699999809265137,14.0,24.799999237060547,0.0,0,0,0,0,0,0,2005-01-01,1
5,725317,48.599998474121094,46.0,1025.4000244140625,4.800000190734863,7.0,13.0,41.0,0.029999999329447746,1,1,1,1,1,1,2005-01-01,1
6,725327,34.20000076293945,27.399999618530273,1028.199951171875,9.800000190734863,7.599999904632568,14.0,28.0,0.0,1,1,1,1,1,1,2005-01-01,1
7,725320,35.29999923706055,26.700000762939453,1026.0999755859375,7.599999904632568,9.300000190734863,14.0,30.0,0.3799999952316284,1,1,1,1,1,1,2005-01-01,1
8,725317,56.400001525878906,55.20000076293945,1023.5,5.699999809265137,8.0,14.0,53.599998474121094,0.17000000178813934,1,1,1,1,1,1,2005-01-02,1
9,725320,45.5,44.79999923706055,1022.9000244140625,3.5999999046325684,7.800000190734863,15.0,30.200000762939453,0.3799999952316284,1,1,1,1,1,1,2005-01-02,1
10,725327,43.599998474121094,43.29999923706055,1023.9000244140625,3.4000000953674316,8.699999809265137,13.0,33.79999923706055,0.41999998688697815,1,1,1,1,1,1,2005-01-02,1
11,725300,42.79999923706055,40.099998474121094,1023.0,6.099999904632568,9.399999618530273,14.0,25.200000762939453,0.25,1,1,1,1,1,1,2005-01-02,1
12,725330,43.0,42.20000076293945,1025.9000244140625,2.299999952316284,8.699999809265137,15.899999618530273,19.899999618530273,0.23000000417232513,1,1,1,1,1,1,2005-01-02,1
13,725330,41.599998474121094,40.29999923706055,1023.5999755859375,4.199999809265137,7.300000190734863,16.899999618530273,34.0,0.38999998569488525,1,1,1,1,1,1,2005-01-03,1
14,725317,47.79999923706055,47.5,1021.9000244140625,3.9000000953674316,5.400000095367432,14.0,42.099998474121094,0.7799999713897705,1,1,1,1,1,1,2005-01-03,1
15,725320,35.70000076293945,34.70000076293945,1024.5,4.800000190734863,8.199999809265137,16.899999618530273,35.099998474121094,1.0800000429153442,1,1,1,1,1,1,2005-01-03,1
16,725315,40.29999923706055,39.400001525878906,1022.2999877929688,4.5,9.800000190734863,19.0,37.400001525878906,0.4699999988079071,0,0,0,0,0,0,2005-01-03,1
17,725300,34.599998474121094,31.600000381469727,1026.0,6.300000190734863,7.800000190734863,14.0,33.099998474121094,0.09000000357627869,1,1,1,1,1,1,2005-01-03,1
18,725305,33.900001525878906,31.200000762939453,1025.5999755859375,7.199999809265137,7.699999809265137,15.0,30.899999618530273,0.09000000357627869,0,0,0,0,0,0,2005-01-03,1
19,725316,40.29999923706055,39.400001525878906,1022.7000122070312,4.900000095367432,8.699999809265137,14.0,37.400001525878906,0.5400000214576721,0,0,0,0,0,0,2005-01-03,1
20,725320,33.599998474121094,32.599998474121094,1025.800048828125,4.0,6.199999809265137,8.899999618530273,32.0,0.0,1,1,1,1,1,1,2005-01-04,1
21,725327,36.20000076293945,34.70000076293945,1025.699951171875,7.599999904632568,6.300000190734863,8.899999618530273,35.599998474121094,0.6299999952316284,0,0,0,0,0,0,2005-01-04,1
22,725330,37.29999923706055,35.70000076293945,1024.699951171875,6.400000095367432,8.800000190734863,14.0,35.599998474121094,0.6499999761581421,1,1,1,1,1,1,2005-01-04,1
23,725300,32.29999923706055,29.399999618530273,1026.5,7.699999809265137,9.300000190734863,12.0,30.0,0.3400000035762787,1,1,1,1,1,1,2005-01-04,1
24,725316,37.599998474121094,36.900001525878906,1024.4000244140625,4.0,8.0,12.0,35.599998474121094,0.7799999713897705,1,1,1,1,1,1,2005-01-04,1
25,725315,37.400001525878906,36.400001525878906,1024.5,2.799999952316284,8.100000381469727,12.0,37.0,0.6399999856948853,1,1,1,1,1,1,2005-01-04,1
26,725305,32.70000076293945,29.200000762939453,1026.4000244140625,6.900000095367432,9.100000381469727,13.0,30.200000762939453,0.20000000298023224,1,1,1,1,1,1,2005-01-04,1
27,725300,29.700000762939453,26.899999618530273,1023.7999877929688,2.0,15.399999618530273,20.0,26.600000381469727,0.1599999964237213,1,1,1,1,1,1,2005-01-05,1
28,725330,31.700000762939453,29.600000381469727,1021.0999755859375,4.699999809265137,14.0,20.0,26.600000381469727,0.41999998688697815,1,1,1,1,1,1,2005-01-05,1
29,725305,29.799999237060547,27.0,1023.7000122070312,3.0999999046325684,15.800000190734863,22.0,26.600000381469727,0.07999999821186066,1,1,1,1,1,1,2005-01-05,1
30,725320,31.899999618530273,30.600000381469727,1019.9000244140625,4.599999904632568,12.800000190734863,24.100000381469727,28.399999618530273,0.33000001311302185,1,1,1,1,1,1,2005-01-05,1
31,725316,34.900001525878906,33.79999923706055,1017.2000122070312,7.300000190734863,15.300000190734863,23.899999618530273,32.0,0.7599999904632568,1,1,1,1,1,1,2005-01-05,1
32,725327,29.600000381469727,27.299999237060547,1022.0999755859375,4.300000190734863,10.800000190734863,15.899999618530273,24.799999237060547,0.1599999964237213,1,1,1,1,1,1,2005-01-05,1
33,725315,35.099998474121094,33.29999923706055,1017.2999877929688,5.400000095367432,14.699999809265137,22.0,32.0,0.7699999809265137,1,1,1,1,1,1,2005-01-05,1
34,725300,25.899999618530273,22.5,1012.7000122070312,4.199999809265137,10.800000190734863,18.100000381469727,19.0,0.5,1,1,1,1,1,1,2005-01-06,1
35,725300,18.0,13.5,1021.2999877929688,8.699999809265137,6.800000190734863,11.100000381469727,7.0,0.019999999552965164,1,1,1,1,1,1,2005-01-07,1
36,725316,24.399999618530273,20.700000762939453,1022.0,9.5,6.599999904632568,9.899999618530273,21.200000762939453,0.0,0,0,0,0,0,0,2005-01-07,1
37,725320,22.0,18.700000762939453,1021.7000122070312,9.0,5.400000095367432,8.0,18.0,0.0,0,0,0,0,0,0,2005-01-07,1
38,725330,24.799999237060547,20.399999618530273,1022.7000122070312,9.699999809265137,7.699999809265137,18.100000381469727,21.200000762939453,0.029999999329447746,0,0,0,0,0,0,2005-01-07,1
39,725314,25.600000381469727,20.399999618530273,1021.9000244140625,10.0,3.700000047683716,8.0,19.899999618530273,0.0,0,0,0,0,0,0,2005-01-07,1
40,725317,28.700000762939453,24.299999237060547,1020.7999877929688,10.0,6.0,9.899999618530273,23.0,0.0,0,0,0,0,0,0,2005-01-07,1
41,725320,26.600000381469727,24.299999237060547,1024.9000244140625,5.400000095367432,2.799999952316284,6.0,18.0,0.07999999821186066,1,1,1,1,1,1,2005-01-08,1
42,725300,26.600000381469727,21.299999237060547,1023.2000122070312,7.900000095367432,4.5,9.899999618530273,25.0,0.0,1,1,1,1,1,1,2005-01-08,1
43,725330,28.899999618530273,26.799999237060547,1023.5,4.300000190734863,4.900000095367432,8.0,26.100000381469727,0.17000000178813934,1,1,1,1,1,1,2005-01-08,1
44,725330,30.700000762939453,28.200000762939453,1026.0999755859375,5.0,6.0,11.100000381469727,28.0,0.0,1,1,1,1,1,1,2005-01-09,1
45,725320,30.0,28.0,1022.7000122070312,5.900000095367432,8.600000381469727,12.0,25.0,0.0,1,1,1,1,1,1,2005-01-09,1
46,725300,28.700000762939453,24.700000762939453,1022.7999877929688,7.599999904632568,7.699999809265137,15.0,26.100000381469727,0.0,1,1,1,1,1,1,2005-01-09,1
